year,state,stage,special,first_name,middle_name,last_name,party,result,race,incumbent,gender
2024,VA,gen,NO,HUNG,,CAO,REPUBLICAN,LOSER,ASIAN,NO,MAN
2024,WA,gen,NO,MARIA,,CANTWELL,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,WA,gen,NO,RAUL,,GARCIA,REPUBLICAN,LOSER,HISPANIC,NO,MAN
2024,CT,gen,NO,CHRIS,,MURPHY,DEMOCRAT,WINNER,WHITE,YES,MAN
2024,CT,gen,NO,MATTHEW,,COREY,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,MA,gen,NO,ELIZABETH,,WARREN,DEMOCRAT,WINNER,WHITE,YES,WOMAN
2024,MA,gen,NO,JOHN,,DEATON,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,ME,gen,NO,ANGUS,,KING,OTHER,WINNER,WHITE,YES,MAN
2024,ME,gen,NO,DEMI,,KOUZOUNAS,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2024,ME,gen,NO,DAVID,,COSTELLO,DEMOCRAT,LOSER,WHITE,NO,MAN
2024,RI,gen,NO,SHELDON,,WHITEHOUSE,DEMOCRAT,WINNER,WHITE,YES,MAN
2024,RI,gen,NO,PATRICIA,,MORGAN,REPUBLICAN,LOSER,WHITE,NO,WOMAN
2024,VT,gen,NO,BERNIE,,SANDERS,OTHER,WINNER,WHITE,YES,MAN
2024,VT,gen,NO,GERALD,,MALLOY,REPUBLICAN,LOSER,WHITE,NO,MAN
2024,FL,gen,NO,RICK,,SCOTT,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,FL,gen,NO,DEBBIE,,MUCARSEL-POWELL,DEMOCRAT,LOSER,WHITE,NO,WOMAN
2024,IN,gen,NO,JIM,,BANKS,REPUBLICAN,WINNER,WHITE,NO,MAN
2024,IN,gen,NO,VALERIE,,MCCRAY,DEMOCRAT,LOSER,BLACK,NO,WOMAN
2024,MO,gen,NO,JOSH,,HAWLEY,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,MO,gen,NO,LUCAS,,KUNCE,DEMOCRAT,LOSER,WHITE,NO,MAN
2024,MS,gen,NO,ROGER,,WICKER,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,MS,gen,NO,TY,,PINKINS,DEMOCRAT,LOSER,BLACK,NO,MAN
2024,ND,gen,NO,KEVIN,,CRAMER,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,ND,gen,NO,KATRINA,,CHRISTIANSEN,DEMOCRAT,LOSER,WHITE,NO,WOMAN
2024,NE,gen,NO,DEB,,FISCHER,REPUBLICAN,WINNER,WHITE,YES,WOMAN
2024,NE,gen,NO,DAN,,OSBORN,OTHER,LOSER,WHITE,NO,MAN
2024,NE,gen,YES,PETE,,RICKETTS,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,NE,gen,YES,PRESTON,,LOVE,DEMOCRAT,LOSER,BLACK,NO,MAN
2024,TN,gen,NO,MARSHA,,BLACKBURN,REPUBLICAN,WINNER,WHITE,YES,WOMAN
2024,TN,gen,NO,GLORIA,,JOHNSON,DEMOCRAT,LOSER,WHITE,NO,WOMAN
2024,UT,gen,NO,JOHN,,CURTIS,REPUBLICAN,WINNER,WHITE,NO,MAN
2024,UT,gen,NO,CAROLINE,,GLEICH,DEMOCRAT,LOSER,WHITE,NO,WOMAN
2024,UT,gen,NO,CARLTON,,BOWEN,OTHER,LOSER,WHITE,NO,MAN
2024,WV,gen,NO,JIM,,JUSTICE,REPUBLICAN,WINNER,WHITE,NO,MAN
2024,WV,gen,NO,GLENN,,ELLIOTT,DEMOCRAT,LOSER,WHITE,NO,MAN
2024,WY,gen,NO,JOHN,,BARRASSO,REPUBLICAN,WINNER,WHITE,YES,MAN
2024,WY,gen,NO,SCOTT,,MORROW,REPUBLICAN,LOSER,WHITE,NO,MAN
